metric,baseline,spatialex_pro,delta
slice1_PCC,0.2576603293418884,0.29372525215148926,0.03606492280960083
slice1_SSIM,0.36777354743411944,0.3840396369205551,0.016266089486435653
slice1_CMD,0.20678647769971803,0.19796539998619211,-0.008821077713525916
slice1_PCC[EPCAM],0.7587497778164708,0.8002189016375363,0.04146912382106549
slice1_PCC[ESR1],0.2952789889469538,0.344739405891615,0.04946041694466119
slice1_PCC[PGR],0.08329297911300489,0.12031083752255563,0.03701785840955074
slice2_PCC,0.27397772669792175,0.30645933747291565,0.032481610774993896
slice2_SSIM,0.3823051814233063,0.39571866877926126,0.01341348735595499
slice2_CMD,0.20845344648752206,0.21045812500876304,0.002004678521240977
slice2_PCC[EPCAM],0.7930001941100808,0.8177435183917564,0.024743324281675583
slice2_PCC[ESR1],0.31673730099354774,0.3553728195652132,0.03863551857166547
slice2_PCC[PGR],0.11417987007535493,0.13196282953279065,0.017782959457435715
