gene,PCC_slice1,PCC_slice2,mean_PCC
KRT7,0.8119251295784958,0.8327228100392273,0.8223239698088616
EPCAM,0.8002189016375363,0.8177435183917564,0.8089812100146463
TACSTD2,0.7688200288159113,0.7959639451439927,0.782391986979952
KRT8,0.7681140481470108,0.7843212885360575,0.7762176683415342
FOXA1,0.7520873149848858,0.792579073174067,0.7723331940794764
FASN,0.7549179075595938,0.7589784596817949,0.7569481836206944
LUM,0.7275920735454353,0.7493815571192729,0.738486815332354
MLPH,0.7239576443402502,0.7512457573647527,0.7376017008525015
GATA3,0.7224481327463025,0.7505046138635074,0.7364763733049049
SCD,0.7337187347752874,0.7362627272406209,0.7349907310079542
POSTN,0.7051020563999011,0.7273558643211666,0.7162289603605339
CCDC80,0.7016298502571859,0.7028911689489079,0.702260509603047
ANKRD30A,0.6837714582984172,0.7175061352369343,0.7006387967676757
PTPRC,0.6848798086267659,0.6885309186509546,0.6867053636388603
CD9,0.6733508744850843,0.6965554948436491,0.6849531846643667
CDH1,0.666122781271744,0.6973109667035334,0.6817168739876387
ERBB2,0.6854393069797562,0.6668218264987329,0.6761305667392445
CXCL12,0.6677323025037459,0.6785369441922885,0.6731346233480172
CEACAM6,0.6739168380816496,0.6688613984014526,0.6713891182415511
CXCR4,0.643890819304675,0.6683479653280389,0.6561193923163569
CCND1,0.6310975474099297,0.661290614057564,0.6461940807337468
IL7R,0.625745608454433,0.638078652650647,0.63191213055254
DSP,0.6043084684872191,0.6477615529141691,0.6260350107006941
MMP2,0.6303199982219032,0.6117563174999903,0.6210381578609467
ABCC11,0.5989645931181569,0.6221653815373799,0.6105649873277683
TRAC,0.6086990954776813,0.6114688922473417,0.6100839938625116
CD3E,0.60642806936802,0.6129237658299593,0.6096759175989896
KRT14,0.5743713224401157,0.6018246409358526,0.5880979816879841
MYO5B,0.5694938117721706,0.6008479021476687,0.5851708569599197
S100A14,0.5712927647587672,0.5934935474172468,0.582393156088007
FBLN1,0.5754177233114365,0.585882050803601,0.5806498870575187
SFRP4,0.5558626905057427,0.6035350844707104,0.5796988874882265
ZEB2,0.559491232652543,0.5607499328750278,0.5601205827637854
KRT5,0.542356129935695,0.5749434193038463,0.5586497746197707
CYTIP,0.558895291063843,0.5531593107063945,0.5560273008851186
LYPD3,0.526630539598543,0.5662435144017726,0.5464370270001577
